date,open,high,low,close,volume
2023-02-06 22:30:36.219960,1161.72,1161.72,1128.26,1158.16,1197152
2023-02-07 22:30:36.219960,1182.05,1184.67,1182.05,1183.67,2070331
2023-02-08 22:30:36.219960,1176.17,1196.97,1166.5,1188.04,2966404
2023-02-09 22:30:36.219960,1191.04,1203.3,1174.94,1197.41,3308704
2023-02-10 22:30:36.219960,1204.99,1218.37,1204.99,1217.0,8980270
2023-02-13 22:30:36.219960,1215.22,1226.23,1215.22,1219.96,3762285
2023-02-14 22:30:36.219960,1215.53,1235.73,1206.91,1218.19,2730357
2023-02-15 22:30:36.219960,1215.35,1215.35,1202.41,1209.41,629545
2023-02-16 22:30:36.219960,1216.98,1218.99,1207.56,1215.4,1335398
2023-02-17 22:30:36.219960,1214.66,1222.65,1212.01,1217.58,2279877
2023-02-20 22:30:36.219960,1219.13,1231.79,1188.81,1202.67,2634869
2023-02-21 22:30:36.219960,1202.66,1230.51,1170.64,1190.41,2823091
2023-02-22 22:30:36.219960,1184.52,1197.52,1162.21,1188.38,4317196
2023-02-23 22:30:36.219960,1197.56,1245.36,1180.26,1234.23,5288233
2023-02-24 22:30:36.219960,1228.01,1233.81,1228.01,1228.04,2984251
2023-02-27 22:30:36.219960,1233.51,1259.72,1188.81,1199.7,4510762
2023-02-28 22:30:36.219960,1195.31,1207.07,1146.64,1186.3,10491739
2023-03-01 22:30:36.219960,1151.61,1151.61,1141.33,1143.43,2317914
2023-03-02 22:30:36.219960,1148.39,1200.83,1148.39,1165.82,1027676
2023-03-03 22:30:36.219960,1134.51,1134.51,1115.95,1126.73,1735025
2023-03-06 22:30:36.219960,1103.87,1103.87,1096.61,1100.84,3200929
2023-03-07 22:30:36.219960,1103.84,1109.0,1102.13,1106.51,306275
2023-03-08 22:30:36.219960,1105.34,1108.12,1088.35,1096.61,1090323
2023-03-09 22:30:36.219960,1107.16,1154.71,1107.16,1139.28,291618
2023-03-10 22:30:36.219960,1101.07,1101.07,1068.74,1084.98,9551422
2023-03-13 22:30:36.219960,1094.47,1149.04,1094.47,1095.08,7583439
2023-03-14 22:30:36.219960,1106.63,1114.76,1106.63,1107.7,4840726
2023-03-15 22:30:36.219960,1118.8,1124.27,1118.8,1118.96,786095
2023-03-16 22:30:36.219960,1125.42,1158.53,1097.77,1133.17,5154998
2023-03-17 22:30:36.219960,1172.28,1185.26,1172.28,1182.96,3977874
2023-03-20 22:30:36.219960,1177.68,1238.02,1159.58,1203.67,6966785
2023-03-21 22:30:36.219960,1206.79,1222.5,1205.42,1220.87,3466254
2023-03-22 22:30:36.219960,1215.0,1226.48,1201.03,1215.03,3440511
2023-03-23 22:30:36.219960,1203.13,1233.05,1187.22,1220.69,1074104
2023-03-24 22:30:36.219960,1223.17,1223.17,1128.64,1188.99,4713458
2023-03-27 22:30:36.219960,1241.82,1249.73,1241.82,1243.89,10181895
2023-03-28 22:30:36.219960,1247.54,1264.89,1231.21,1249.8,2893260
2023-03-29 22:30:36.219960,1251.0,1262.0,1232.4,1258.87,2805241
2023-03-30 22:30:36.219960,1266.8,1285.04,1266.8,1267.11,566039
2023-03-31 22:30:36.219960,1272.54,1322.95,1272.54,1274.56,3451062
2023-04-03 22:30:36.219960,1282.37,1346.3,1282.37,1300.58,9562093
2023-04-04 22:30:36.219960,1295.66,1295.66,1283.7,1295.2,1461436
2023-04-05 22:30:36.219960,1319.94,1395.28,1319.94,1333.46,3886163
2023-04-06 22:30:36.219960,1353.18,1372.73,1353.18,1354.03,335964
2023-04-07 22:30:36.219960,1358.86,1409.19,1282.27,1390.65,3527866
2023-04-10 22:30:36.219960,1447.04,1458.49,1447.04,1450.85,12264848
2023-04-11 22:30:36.219960,1540.16,1578.41,1540.16,1557.35,9127452
2023-04-12 22:30:36.219960,1564.91,1588.76,1507.24,1566.59,646775
2023-04-13 22:30:36.219960,1707.77,1753.72,1707.77,1711.05,8858864
2023-04-14 22:30:36.219960,1709.11,1776.4,1657.48,1755.27,7776007
2023-04-17 22:30:36.219960,1729.51,1798.23,1728.31,1760.27,7059039
