date,open,high,low,close,volume
2023-02-06 22:30:36.533330,2126.66,2296.41,2113.67,2149.06,161234
2023-02-07 22:30:36.533330,2147.54,2190.62,2127.48,2175.2,5568496
2023-02-08 22:30:36.533330,2179.31,2215.19,2096.4,2180.58,2236523
2023-02-09 22:30:36.533330,2191.84,2265.63,2109.55,2195.15,3661065
2023-02-10 22:30:36.533330,2156.38,2156.38,2140.03,2141.27,2381900
2023-02-13 22:30:36.533330,2156.97,2214.92,2087.08,2132.4,685087
2023-02-14 22:30:36.533330,2127.05,2181.87,2126.58,2157.73,895845
2023-02-15 22:30:36.533330,2129.61,2129.61,2078.57,2099.66,4190096
2023-02-16 22:30:36.533330,2078.74,2088.39,2052.6,2076.51,6513021
2023-02-17 22:30:36.533330,2081.53,2172.17,1977.55,2099.75,4547876
2023-02-20 22:30:36.533330,2120.33,2164.36,2113.25,2137.24,3362367
2023-02-21 22:30:36.533330,2142.88,2160.24,1999.4,2131.95,4425350
2023-02-22 22:30:36.533330,2150.66,2203.61,2150.66,2152.09,1951839
2023-02-23 22:30:36.533330,2161.71,2188.09,2161.71,2174.22,2657427
2023-02-24 22:30:36.533330,2176.76,2201.21,2176.76,2185.08,1149011
2023-02-27 22:30:36.533330,2126.18,2126.18,2110.84,2123.29,1167237
2023-02-28 22:30:36.533330,2179.24,2192.32,2179.24,2184.96,953243
2023-03-01 22:30:36.533330,2193.98,2230.45,2193.98,2214.49,5110448
2023-03-02 22:30:36.533330,2231.57,2244.57,2231.57,2239.67,6941684
2023-03-03 22:30:36.533330,2234.19,2282.87,2226.04,2248.4,3906192
2023-03-06 22:30:36.533330,2319.5,2455.04,2319.5,2358.25,531323
2023-03-07 22:30:36.533330,2441.26,2603.19,2441.26,2449.24,6475762
2023-03-08 22:30:36.533330,2450.71,2559.14,2351.7,2415.22,8070397
2023-03-09 22:30:36.533330,2490.87,2609.72,2490.87,2539.42,1093103
2023-03-10 22:30:36.533330,2600.24,2689.2,2600.24,2647.35,7079705
2023-03-13 22:30:36.533330,2764.62,2819.92,2764.62,2778.83,3721199
2023-03-14 22:30:36.533330,2757.09,2899.07,2679.89,2864.84,1001723
2023-03-15 22:30:36.533330,2912.53,2971.1,2912.53,2954.7,455510
2023-03-16 22:30:36.533330,3008.45,3071.18,3008.45,3049.87,4912623
2023-03-17 22:30:36.533330,3073.27,3116.5,3037.22,3102.22,6081526
2023-03-20 22:30:36.533330,3095.9,3179.88,3095.9,3174.62,5933070
